pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_bmassj,st_teff,st_rad,st_mass,sy_dist
HD 205739 b,Radial Velocity,2008,279.8,0.896,1.37,6176,1.33,1.22,92.5087
HD 206255 b,Radial Velocity,2019,96.045,0.461,0.1076,5635,2.22,1.42,75.2363
HD 206610 b,Radial Velocity,2009,673.2,1.74,2.036,4842,6.12,1.55,147.192
HD 20781 b,Radial Velocity,2019,5.3135,0.0529,0.0061,5256,0.83,0.7,35.9715
HD 20781 c,Radial Velocity,2019,13.8905,0.1004,0.0168,5256,0.83,0.7,35.9715
HD 20781 d,Radial Velocity,2019,29.158,0.1647,0.0334,5256,0.83,0.7,35.9715
HD 20781 e,Radial Velocity,2019,85.5073,0.3374,0.0442,5256,0.83,0.7,35.9715
HD 20782 b,Radial Velocity,2006,597.0643,1.3649,1.4878,5782.13,1.13,1.04,35.9864
HD 207832 b,Radial Velocity,2012,160.07,0.586,0.56,5726,0.89,1.05,58.9291
HD 207832 c,Radial Velocity,2012,1155.7,2.112,0.73,5710,0.9,0.94,58.9291
HD 207897 b,Transit,2021,16.202159,0.1163,0.04531,5070,0.78,0.8,28.2938
HD 20794 b,Radial Velocity,2011,18.315,0.1207,0.0085,5401,0.92,0.7,6.00278
HD 20794 c,Radial Velocity,2011,40.114,0.2036,0.0076,5401,0.92,0.7,6.00278
HD 20794 d,Radial Velocity,2011,90.309,0.3499,0.015,5401,0.92,0.7,6.00278
HD 20794 e,Radial Velocity,2017,147.02,0.509,0.01501,5401,0.92,0.81,6.00278
HD 208487 b,Radial Velocity,2004,130.08,0.524,0.52,6067,1.2,1.13,45.147
HD 208527 b,Radial Velocity,2012,875.5,2.1,9.9,4035,51.1,1.6,312.202
HD 20868 b,Radial Velocity,2008,380.85001,0.95,1.25,4802,0.76,0.39,47.7223
HD 208897 b,Radial Velocity,2017,352.7,1.05,1.4,4860,4.98,1.25,67.4872
HD 209458 b,Radial Velocity,1999,3.52474859,0.04707,0.73,6091,1.19,1.23,48.3016
HD 210193 b,Radial Velocity,2019,649.918,1.487,0.4817,5790,1.06,1.04,42.2029
HD 210277 b,Radial Velocity,1998,442.19,1.13,1.29,5538,1.07,1.01,21.2985
HD 210702 b,Radial Velocity,2007,354.1,1.148,1.808,4951,4.92,1.61,54.1963
HD 211403 b,Radial Velocity,2021,223.8,0.768,5.54,6273,1.21,1.2,83.0919
HD 211810 b,Radial Velocity,2018,1558,2.656,0.67,5652,1.13,1.03,64.6353
HD 211970 b,Radial Velocity,2019,25.201,0.143,0.0409,4127,0.57,0.61,13.1277
HD 212301 b,Radial Velocity,2005,2.24571,0.03,0.51,6239,1.16,1.55,54.2304
HD 212771 b,Radial Velocity,2009,380.7,1.19,2.39,5003,5.27,1.56,111.155
HD 213240 b,Radial Velocity,2001,882.70001,1.89,5.58,5979,1.51,1.57,40.8707
HD 213472 b,Radial Velocity,2021,17000,13,3.5,5729.54,1.43,1.05,64.4527
HD 213885 b,Transit,2019,1.008035,0.02012,0.02778,5978,1.1,1.07,48.0883
HD 213885 c,Radial Velocity,2019,4.78503,0.056798,0.06277,5978,1.1,1.07,48.0883
HD 21411 b,Radial Velocity,2019,84.288,0.362,0.20734,5605,0.83,0.89,29.1328
HD 214823 b,Radial Velocity,2016,1854.4,3.23,20.3,5933,2.04,1.31,101.368
HD 215152 b,Radial Velocity,2018,5.75999,0.057638,0.00572,4935,0.73,0.77,21.5974
HD 215152 c,Radial Velocity,2018,7.28243,0.067393,0.00541,4935,0.73,0.77,21.5974
HD 215152 d,Radial Velocity,2018,10.86499,0.08799,0.00881,4935,0.73,0.77,21.5974
HD 215152 e,Radial Velocity,2018,25.1967,0.15417,0.00905,4935,0.73,0.77,21.5974
HD 215497 b,Radial Velocity,2009,3.93404,0.05,0.02,5110,0.85,0.67,40.5468
HD 215497 c,Radial Velocity,2009,567.94,1.282,0.33,5113,0.9,0.87,40.5468
HD 216435 b,Radial Velocity,2002,1311,2.56,1.26,5999,1.8,1.3,32.9834
HD 216437 b,Radial Velocity,2002,1334.28,2.497,2.223,5909,1.39,1.17,26.6902
HD 216520 b,Radial Velocity,2020,35.45,0.198,0.03228,5103,0.76,0.82,19.552
HD 216520 c,Radial Velocity,2020,154.43,0.528,0.0297,5103,0.76,0.82,19.552
HD 216536 b,Radial Velocity,2015,148.60001,0.61,1.05,4639,9.83,0.81,376.233
HD 216770 b,Radial Velocity,2003,118.45,0.46,0.57,5399,0.93,0.74,36.6625
HD 21693 b,Radial Velocity,2019,22.6786,0.1455,0.0259,5430,0.91,0.8,33.255
HD 21693 c,Radial Velocity,2019,53.7357,0.2586,0.0547,5430,0.91,0.8,33.255
HD 217107 b,Radial Velocity,1998,7.12682,0.08,1.3,5622,1.11,1,20.0619
HD 217107 c,Radial Velocity,2005,4270,5.32,2.6,5575,1.2,0.98,20.0619
HD 21749 c,Transit,2019,7.78993,0.0695,0.01164,4640,0.69,0.73,16.32
HD 217786 b,Radial Velocity,2011,1319,2.38,13,5966,1.27,1.02,55.4847
HD 217850 b,Radial Velocity,2018,3501.3,4.56,21.6,5544,1.21,1.03,65.7969
HD 218566 b,Radial Velocity,2010,225.7,0.69,0.2,4730,0.85,0.76,28.8274
HD 219077 b,Radial Velocity,2012,5501,6.22,10.39,5362,1.91,1.05,29.1864
HD 219134 b,Radial Velocity,2015,3.092926,0.03876,0.01491,4699,0.78,0.81,6.53127
HD 219134 c,Radial Velocity,2015,6.76458,0.0653,0.01372,4699,0.78,0.81,6.53127
HD 219134 d,Radial Velocity,2015,46.859,0.237,0.05088,4699,0.78,0.81,6.53127
HD 219134 f,Radial Velocity,2015,22.717,0.1463,0.02297,4699,0.78,0.81,6.53127
HD 219134 g,Radial Velocity,2015,94.2,0.3753,0.034,4913,0.77,0.79,6.53127
HD 219134 h,Radial Velocity,2015,2247,3.11,0.34,4913,0.77,0.79,6.53127
HD 219139 b,Radial Velocity,2021,275.5,0.94,0.78,4831,11.22,1.46,104.935
HD 219415 b,Radial Velocity,2012,2093.3,3.2,1,4820,2.9,1,165.184
HD 219666 b,Transit,2018,6.03607,0.06356,0.05223,5527,1.03,0.92,94.1719
HD 219828 b,Radial Velocity,2007,3.83492,0.0507,0.066,5807,1.61,1.18,73.114
HD 219828 c,Radial Velocity,2016,4682,5.79,14.6,5807,1.61,1.18,73.114
HD 220074 b,Radial Velocity,2012,672.09998,1.6,16.64,3787,54.92,2.2,324.54
HD 220197 b,Radial Velocity,2018,1728,2.729,0.2,5683,0.98,0.91,64.411
HD 220689 b,Radial Velocity,2012,2266.4,3.396,1.118,5921,1.07,1.02,46.8778
HD 220773 b,Radial Velocity,2011,3724.7,4.94,1.45,5940,1.68,1.16,50.5103
HD 220842 b,Radial Velocity,2016,218.47,0.74,3.18,5960,1.42,1.13,64.6498
HD 221287 b,Radial Velocity,2007,456.1,1.25,3.09,6304,1.14,1.25,55.9231
HD 221416 b,Transit,2019,14.2767,0.1228,0.19,5080,2.94,1.21,95.5483
HD 221420 b,Radial Velocity,2019,10090,10.15,22.9,5847,1.95,1.35,31.1415
HD 221585 b,Radial Velocity,2016,1173,2.306,1.61,5620,1.85,1.19,55.8535
HD 222076 b,Radial Velocity,2016,871,1.83,1.56,4806,4.1,1.07,91.1538
HD 222155 b,Radial Velocity,2011,3999,5.14,2.12,5701,1.85,1.21,50.6078
HD 222582 b,Radial Velocity,1999,572.38,1.34,8.37,5790,1.13,1.12,42.1586
HD 224538 b,Radial Velocity,2016,1189.1,2.28,5.97,6097,1.54,1.34,79.0608
HD 224693 b,Radial Velocity,2006,26.6904,0.191,0.7,5894,1.93,1.31,93.5015
HD 22496 b,Radial Velocity,2021,5.09071,0.051,0.01753,4385,0.67,0.68,13.5956
HD 22781 b,Radial Velocity,2011,528.07,1.167,13.65,5027,0.74,0.75,32.6034
HD 23079 b,Radial Velocity,2001,730.59998,1.6,2.61,5974,1.07,1.12,33.4591
HD 23127 b,Radial Velocity,2006,1211.17,2.37,1.527,5843,1.49,1.21,93.8555
HD 231701 b,Radial Velocity,2007,141.63,0.567,1.13,6101,1.53,1.21,108.877
HD 233604 b,Radial Velocity,2013,192,0.747,6.575,4791,10.9,1.5,847.058
HD 233832 b,Radial Velocity,2018,2058,2.827,1.78,4981,0.68,0.71,58.742
HD 23472 b,Transit,2019,17.667,0.121,0.05638,4813,0.73,0.75,39.0341
HD 23472 c,Transit,2019,29.625,0.17,0.05405,4813,0.73,0.75,39.0341
HD 23596 b,Radial Velocity,2003,1561,2.77,9.03,6040,1.53,1.47,52.0018
HD 238090 b,Radial Velocity,2020,13.671,0.0932,0.02168,3933,0.57,0.58,15.2354
HD 238914 b,Radial Velocity,2018,4100,5.7,6,4769,12.73,1.47,519.452
HD 240210 b,Radial Velocity,2009,501.75,1.16,5.21,4297,25.46,0.82,372.405
HD 240237 b,Radial Velocity,2011,745.70001,1.92,15.89,3926,71.23,8.76,933.377
HD 24040 b,Radial Velocity,2006,3668,4.92,3.86,5802,1.3,1.11,46.6224
HD 24040 c,Radial Velocity,2021,515.4,1.3,0.201,5776.49,1.39,1.1,46.6224
HD 24064 b,Radial Velocity,2015,535.59998,1.29,12.89,4052,40,1.61,300.247
HD 24085 b,Radial Velocity,2019,2.0455,0.034,0.03713,6034,1.41,1.22,54.9004
HD 25015 b,Radial Velocity,2019,6019.32,6.19,4.48,5160,0.83,0.86,37.433
HD 25171 b,Radial Velocity,2010,1802.29,2.971,0.915,6125,1.23,1.08,55.6146
HD 25723 b,Radial Velocity,2020,457.01,1.49,2.5,4766,13.76,2.12,114.816
HD 26161 b,Radial Velocity,2021,32000,20.4,13.5,6057.62,1.46,1.13,40.9128
HD 2638 b,Radial Velocity,2005,3.4442,0.04,0.42,5186,0.94,0.77,54.9621
HD 2685 b,Transit,2019,4.12688,0.0568,1.17,6801,1.56,1.43,196.852
HD 26965 b,Radial Velocity,2018,42.378,,0.02665,5072,0.87,0.78,5.03545
HD 27442 b,Radial Velocity,2000,428.1,1.271,1.56,4846,3.18,1.23,18.2704
HD 27631 b,Radial Velocity,2012,2198.14,3.242,1.494,5737,0.92,0.94,50.2862
HD 27894 b,Radial Velocity,2005,18.02,0.125,0.665,4875,0.89,0.8,43.8214
HD 27894 c,Radial Velocity,2017,36.07,0.198,0.162,4894,0.89,0.8,43.8214
HD 27894 d,Radial Velocity,2017,5174,5.448,5.415,4894,0.89,0.8,43.8214
HD 27969 b,Radial Velocity,2021,654.5,1.552,4.8,5966,1.27,1.16,67.9328
HD 28185 b,Radial Velocity,2001,379,1.02,5.9,5662,1.03,1.02,39.3809
HD 28254 b,Radial Velocity,2010,1116,2.15,1.16,5664,1.48,1.06,55.2884
HD 285507 b,Radial Velocity,2013,6.0881,0.06,0.98,4503,0.69,0.82,45.0293
HD 285968 b,Radial Velocity,2008,8.7836,0.066,0.026,3703.49,0.48,0.5,9.47045
HD 28678 b,Radial Velocity,2011,380.2,1.18,1.542,4972,6.48,1.53,189.908
HD 29021 b,Radial Velocity,2017,1362.3,2.28,2.4,5560,0.85,0.85,30.9939
HD 290327 b,Radial Velocity,2009,2443,3.43,2.43,5505,0.95,0.84,56.433
HD 29399 b,Radial Velocity,2020,892.7,1.913,1.57,4845,4.5,1.17,44.1518
HD 2952 b,Radial Velocity,2013,311.60001,1.23,1.37,4844,10.76,1.97,110.103
HD 30177 b,Radial Velocity,2002,2527.83,3.704,8.622,5607,1.02,1.05,55.5867
HD 30177 c,Radial Velocity,2016,11613,9.89,7.6,5580,1.18,0.99,55.5867
HD 30562 b,Radial Velocity,2009,1157,2.34,1.22,5882,1.61,1.12,26.1597
HD 30669 b,Radial Velocity,2014,1684,2.69,0.47,5400,0.91,0.92,58.0844
HD 30856 b,Radial Velocity,2011,847,1.85,1.547,4895,4.4,1.17,131.199
HD 31253 b,Radial Velocity,2010,466,1.26,0.62,6130,1.75,1.7,58.1438
HD 31527 b,Radial Velocity,2019,16.5535,0.1254,0.0329,5898,1.07,0.96,38.4473
HD 31527 c,Radial Velocity,2019,51.2053,0.2663,0.0445,5898,1.07,0.96,38.4473
HD 31527 d,Radial Velocity,2019,271.6737,0.8098,0.0372,5898,1.07,0.96,38.4473
HD 3167 b,Transit,2016,0.959624,0.0186,0.01579,5528,0.87,0.94,47.2899
HD 3167 c,Transit,2016,29.83832,0.1841,0.03083,5528,0.87,0.94,47.2899
HD 3167 d,Radial Velocity,2017,8.509,0.07757,0.02171,5261,0.86,0.86,47.2899
HD 32518 b,Radial Velocity,2009,157.54,0.59,3.04,4580,10.22,1.13,122.115
HD 32963 b,Radial Velocity,2015,2372,3.41,0.7,5727,1.11,0.94,38.0786
HD 330075 b,Radial Velocity,2004,3.38773,0.04,0.48,5000,0.84,0.47,45.2989
HD 331093 b,Radial Velocity,2021,621.62,1.44,1.5,5544,1.11,1.03,50.1928
HD 33142 b,Radial Velocity,2011,326,1.07,1.385,4978,4.45,1.41,121.375
HD 33142 c,Radial Velocity,2018,834,,5.97,5009,4.14,1.62,121.375
HD 332231 b,Transit,2020,18.71204,0.1436,0.244,6089,1.28,1.13,80.6665
HD 33283 b,Radial Velocity,2006,18.1991,0.1508,0.329,5935,1.97,1.38,89.8623
HD 33564 b,Radial Velocity,2005,388,1.1,9.1,6250,1.44,1.25,20.9531
HD 33844 b,Radial Velocity,2015,551.40002,1.6,2.01,4861,5.39,1.84,105.779
HD 33844 c,Radial Velocity,2015,916,2.24,1.75,4861,5.29,1.78,105.779
HD 34445 b,Radial Velocity,2009,1049,2.07,0.82,5879,1.38,1.14,46.0907
HD 34445 c,Radial Velocity,2017,214.67,0.7181,0.168,5836,1.38,1.07,46.0907
HD 34445 d,Radial Velocity,2017,117.87,0.4817,0.097,5836,1.38,1.07,46.0907
HD 34445 e,Radial Velocity,2017,49.175,0.2687,0.0529,5836,1.38,1.07,46.0907
HD 34445 f,Radial Velocity,2017,676.8,1.543,0.119,5836,1.38,1.07,46.0907
HD 34445 g,Radial Velocity,2017,5700,6.36,0.38,5836,1.38,1.07,46.0907
HD 35759 b,Radial Velocity,2016,82.467,0.389,3.76,6060,1.76,1.15,71.2423
HD 360 b,Radial Velocity,2021,273.1,0.98,0.75,4770,10.86,1.69,111.542
HD 3651 b,Radial Velocity,2003,62.25,0.295,0.228,5221,0.87,0.8,11.1336
HD 37124 b,Radial Velocity,2002,154.378,0.53364,0.675,5698.64,0.95,0.85,31.6634
HD 37124 c,Radial Velocity,2002,885.5,1.71,0.652,5698.64,0.95,0.85,31.6634
HD 37124 d,Radial Velocity,2005,1862,2.807,0.696,5698.64,0.95,0.85,31.6634
HD 37605 b,Radial Velocity,2004,55.01292,0.277,2.69,5329,0.91,0.94,46.7864
HD 37605 c,Radial Velocity,2012,2720,3.74,3.19,5329,0.91,0.94,46.7864
HD 3765 b,Radial Velocity,2021,1211,2.108,0.173,5049.8,0.83,0.85,17.926
HD 38283 b,Radial Velocity,2010,363.20001,1.02,0.4,5981,1.49,1.37,38.0615
HD 38529 b,Radial Velocity,2000,14.30944,0.1294,0.797,5541,2.56,1.41,42.3538
HD 38529 c,Radial Velocity,2000,2136.1,3.64,12.99,5541,2.56,1.41,42.3538
HD 38801 b,Radial Velocity,2009,685.25,1.623,9.698,5338,2.03,1.21,91.4349
HD 39091 b,Radial Velocity,2001,2093.07,3.1,12.9,6037,1.1,1.09,18.2702
HD 39194 b,Radial Velocity,2021,5.6368,0.056,0.01259,5205,0.78,0.67,26.4131
HD 39194 c,Radial Velocity,2021,14.03,0.103,0.01982,5205,0.78,0.67,26.4131
HD 39194 d,Radial Velocity,2021,33.91,0.185,0.01259,5205,0.78,0.67,26.4131
HD 39855 b,Radial Velocity,2019,3.2498,0.041,0.02674,5576,0.74,0.87,23.2599
HD 40307 b,Radial Velocity,2009,4.3123,0.0468,0.0126,4956,0.72,0.77,12.9363
HD 40307 c,Radial Velocity,2009,9.6184,0.0799,0.0208,4956,0.72,0.77,12.9363
HD 40307 d,Radial Velocity,2009,20.432,0.1321,0.0299,4956,0.72,0.77,12.9363
HD 40307 f,Radial Velocity,2013,51.76,0.247,0.0164,4956,0.72,0.77,12.9363
HD 40307 g,Radial Velocity,2013,197.8,0.6,0.0223,4956,0.72,0.77,12.9363
HD 40956 b,Radial Velocity,2017,578.6,1.4,2.7,4869,8.56,2,116.593
HD 40979 b,Radial Velocity,2002,264.14999,0.85,4.67,6165,1.21,1.45,34.0883
HD 41004 A b,Radial Velocity,2004,963,,2.54,5310,0.85,0.95,36.69117
HD 41004 B b,Radial Velocity,2003,1.3283,,18.37,5036,1.04,0.4,41.5504
HD 4113 b,Radial Velocity,2007,526.62,1.28,1.56,5688,1.08,0.99,41.8727
HD 42012 b,Radial Velocity,2017,857.5,1.67,1.6,5405,0.82,0.83,36.7984
HD 4203 b,Radial Velocity,2001,431.88,1.17,2.23,5596,1.42,1.25,81.3795
HD 4203 c,Radial Velocity,2014,6700,6.95,2.17,5582,1.5,0.99,81.3795
HD 4208 b,Radial Velocity,2001,832.97,1.662,0.81,5717,0.85,0.88,34.1937
HD 42618 b,Radial Velocity,2016,149.61,0.554,0.04531,5727,1,1.01,24.3358
HD 4308 b,Radial Velocity,2005,15.56,0.12,0.05,5686,1.02,0.93,22.0158
HD 4313 b,Radial Velocity,2009,356.21,1.157,1.927,4943,5.14,1.63,136.308
HD 43197 b,Radial Velocity,2010,327.8,0.92,0.6,5508,1,0.96,62.4112
HD 43691 b,Radial Velocity,2007,36.9987,0.238,2.55,6093,1.6,1.32,85.6009
HD 44219 b,Radial Velocity,2010,472.3,1.19,0.58,5752,1.32,1,52.9051
HD 45184 b,Radial Velocity,2019,5.8854,0.0644,0.0384,5869,1.08,1.03,21.9532
HD 45184 c,Radial Velocity,2019,13.1354,0.11,0.0277,5869,1.08,1.03,21.9532
HD 45350 b,Radial Velocity,2004,963.6,1.92,1.79,5566,1.26,0.98,46.8733
HD 45364 b,Radial Velocity,2008,226.93,0.6813,0.1872,5434,0.89,0.82,34.354
HD 45364 c,Radial Velocity,2008,342.85,0.8972,0.6579,5434,0.89,0.82,34.354
HD 45652 b,Radial Velocity,2008,44.073,0.237,0.433,5294,0.94,0.92,34.8541
HD 46375 b,Radial Velocity,2000,3.023573,0.0398,0.226,5285,0.91,0.92,29.5529
HD 47186 b,Radial Velocity,2008,4.0845,0.05,0.07,5657,1.08,0.96,37.4574
HD 47186 c,Radial Velocity,2008,1353.6,2.395,0.35061,5657,1.08,0.96,37.4574
HD 4732 b,Radial Velocity,2012,360.2,1.19,2.37,4959,5.4,1.74,54.7841
HD 4732 c,Radial Velocity,2012,2732,4.6,2.37,4959,5.4,1.74,54.7841
HD 47366 b,Radial Velocity,2016,359.15,1.28,2.3,4914,6.2,2.19,84.3552
HD 47366 c,Radial Velocity,2016,682.85,1.97,1.88,4914,6.2,2.19,84.3552
HD 47536 b,Radial Velocity,2002,712.13,1.93,7.32,4380,23.47,2.1,122.536
HD 4760 b,Radial Velocity,2021,434,1.14,13.9,4076,42.4,1.05,537.873
HD 48265 b,Radial Velocity,2008,778.51,1.814,1.525,5733,1.9,1.31,90.5446
HD 4917 b,Radial Velocity,2018,400.5,1.167,1.615,4802,5.01,1.32,204.277
HD 49674 b,Radial Velocity,2002,4.94737,0.06,0.1,5602,1.02,1.03,43.0399
HD 50499 b,Radial Velocity,2005,2447.1,3.833,1.636,6102,1.35,1.25,46.2845
HD 50499 c,Radial Velocity,2019,8619.9,9.02,2.93,6099,1.42,1.31,46.2845
HD 50554 b,Radial Velocity,2002,1293,2.353,4.954,5987,1.02,1.04,31.1664
HD 51608 b,Radial Velocity,2019,14.0726,0.1059,0.0402,5358,0.92,0.8,35.0553
HD 51608 c,Radial Velocity,2019,95.9446,0.3809,0.045,5358,0.92,0.8,35.0553
HD 52265 b,Radial Velocity,2000,119.27,0.52,1.21,6136,1.32,1.2,29.9803
HD 5278 b,Transit,2021,14.339156,0.1202,0.02454,6203,1.19,1.13,57.5846
HD 5278 c,Radial Velocity,2021,40.87,0.2416,0.05789,6203,1.19,1.13,57.5846
HD 5319 b,Radial Velocity,2007,637.1,1.57,1.556,4871,4.06,1.27,121.405
HD 5319 c,Radial Velocity,2014,872.2,1.93,1.053,4871,4.06,1.27,121.405
HD 55696 b,Radial Velocity,2018,1827,3.18,3.87,6012,1.52,1.29,77.9693
HD 5583 b,Radial Velocity,2016,139.35,0.53,5.78,4830,9.09,1.01,219.216
HD 5608 b,Radial Velocity,2012,779.9,1.911,1.681,4877,5.14,1.53,58.1105
HD 564 b,Radial Velocity,2014,492.3,1.2,0.33,5902,1.01,0.96,51.1659
HD 5891 b,Radial Velocity,2011,177.11,0.64,7.63,4673,10.64,1.93,283.502
HD 59686 A b,Radial Velocity,2016,299.36,1.086,6.92,4658,13.2,1.9,89.2721
HD 60292 b,Radial Velocity,2020,495.4,1.5,6.5,4348,27,1.7,315.211
HD 60532 b,Radial Velocity,2008,201.9,0.77,1.06,6245,2.57,1.5,25.9716
HD 60532 c,Radial Velocity,2008,600.1,1.6,2.51,6245,2.57,1.5,25.9716
HD 62509 b,Radial Velocity,2006,589.64,1.64,2.3,4892.63,8.9,2,10.34
HD 63433 b,Transit,2020,7.10793,0.0719,0.0166,5640,0.91,0.99,22.4035
HD 63433 c,Transit,2020,20.5453,0.1458,0.0239,5640,0.91,0.99,22.4035
HD 63454 b,Radial Velocity,2005,2.81805,0.04,0.25,4812,0.77,0.42,37.6894
HD 63765 b,Radial Velocity,2009,358,0.94,0.53,5449,0.83,0.65,32.5376
HD 63935 b,Transit,2021,9.058811,,0.03398,5534,0.96,0.93,48.9739
HD 63935 c,Radial Velocity,2021,21.4023,,0.03492,5534,0.96,0.93,48.9739
HD 64114 b,Radial Velocity,2019,45.791,0.246,0.056,5676,0.88,0.95,31.5262
HD 6434 b,Radial Velocity,2003,21.998,0.14,0.49,5769,1.12,1.1,42.358
HD 65216 b,Radial Velocity,2003,577.6,1.301,1.295,5612,0.88,0.87,35.1205
HD 65216 c,Radial Velocity,2013,5370,5.75,2.03,5612,0.89,0.87,35.1205
HD 66141 b,Radial Velocity,2012,480.5,1.2,6,4323,21.4,1.1,68.1509
HD 66428 b,Radial Velocity,2005,2263.12,3.467,3.204,5773,1.1,1.08,53.2817
HD 66428 c,Radial Velocity,2021,39000,23,27,5647.6,1.17,1.05,53.2817
HD 67087 b,Radial Velocity,2015,352.2,1.08,3.06,6330,1.55,1.36,76.5217
HD 67087 c,Radial Velocity,2015,2374,3.86,4.85,6330,1.55,1.36,76.5217
HD 6718 b,Radial Velocity,2009,2496,3.55,1.68,5801,0.95,1.08,51.3444
HD 68402 b,Radial Velocity,2016,1103,2.18,3.07,5950,1.02,1.12,78.4293
HD 68988 b,Radial Velocity,2001,6.27711,0.07,1.97,5932,1.19,1.28,60.8447
HD 68988 c,Radial Velocity,2021,16000,13.2,15,5883.41,1.26,1.17,60.8447
HD 69830 b,Radial Velocity,2006,8.667,0.0785,0.0321,5385,0.89,0.86,12.5591
HD 69830 c,Radial Velocity,2006,31.56,0.186,0.0371,5385,0.89,0.86,12.5591
HD 69830 d,Radial Velocity,2006,197,0.63,0.057,5385,0.89,0.86,12.5591
HD 70573 b,Radial Velocity,2007,851.8,1.76,6.1,5737,0.98,1,59.182
HD 70642 b,Radial Velocity,2003,2124.54,3.318,1.993,5732,0.98,1.08,29.276
HD 7199 b,Radial Velocity,2011,615,1.36,0.27,5371,0.97,0.77,36.1531
HD 72490 b,Radial Velocity,2018,858,1.88,1.768,4934,4.96,1.21,126.339
HD 72659 b,Radial Velocity,2002,3658,4.75,3.85,5932,1.46,1.43,51.8949
HD 72892 b,Radial Velocity,2016,39.475,0.228,5.45,5688,1.22,1.02,69.7311
HD 73267 b,Radial Velocity,2008,1245.36,2.187,3.097,5387,0.91,0.9,50.4093
HD 73526 b,Radial Velocity,2002,188.3,0.65,3.08,5601,1.53,1.14,97.2396
HD 73526 c,Radial Velocity,2005,379.1,1.03,2.25,5633,1.53,1.01,97.2396
HD 73534 b,Radial Velocity,2008,1750,2.99,1.112,4917,2.58,1.16,83.3321
HD 74156 b,Radial Velocity,2003,51.645,0.292,1.8,6068,1.51,1.24,57.603
HD 74156 c,Radial Velocity,2003,2473,3.85,8.06,6068,1.51,1.24,57.603
HD 7449 b,Radial Velocity,2011,1255.5,2.38,0.508,6024,0.97,1.05,38.662
HD 75289 b,Radial Velocity,1999,3.50927,0.05,0.49,6117,1.23,1.29,29.1158
HD 75784 b,Radial Velocity,2014,341.2,1.032,1,4867,3.4,1.26,85.4321
HD 75784 c,Radial Velocity,2018,7900,8.4,5.64,4867,3.4,1.26,85.4321
HD 75898 b,Radial Velocity,2007,422.9,1.191,2.71,5963,1.58,1.26,78.0505
HD 76700 b,Radial Velocity,2002,3.97097,0.05,0.21,5644,1.37,0.99,60.8831
HD 76920 b,Radial Velocity,2017,415.4,1.149,3.93,4698,7.47,1.17,184.031
HD 77338 b,Radial Velocity,2012,5.7361,0.06,0.05,5341,0.97,1.37,45.935
HD 79181 b,Radial Velocity,2021,273.1,0.9,0.64,4862,11.06,1.28,103.335
HD 7924 b,Radial Velocity,2008,5.39792,0.06,0.02,5131,0.78,0.65,16.9922
HD 7924 c,Radial Velocity,2015,15.299,0.1134,0.02473,5075,0.78,0.83,16.9922
HD 7924 d,Radial Velocity,2015,24.451,0.1551,0.02026,5075,0.78,0.83,16.9922
HD 79498 b,Radial Velocity,2011,1807,2.98,1.34,5748,1.05,1.08,48.9489
HD 80606 b,Radial Velocity,2001,111.4367,0.4565,4.38,5561,1.04,1.15,66.4711
HD 80653 b,Transit,2020,0.719573,0.0166,0.01762,6080,1.22,1.18,109.86
HD 80869 b,Radial Velocity,2021,1711.7,2.878,4.86,5837,1.06,1.08,85.3951
HD 81040 b,Radial Velocity,2005,1001.70001,1.94,7.27,5755,0.91,1.05,34.4341
HD 81688 b,Radial Velocity,2007,184.02,0.81,2.7,4753,13,2.1,85.7183
HD 81817 b,Radial Velocity,2020,1047.1,3.3,27.1,4140,83.8,4.3,269.126
HD 82886 b,Radial Velocity,2011,705,1.58,2.33,4953,5.26,2.53,127.061
HD 82943 b,Radial Velocity,2003,441.47,1.18306,1.681,5935,1.18,1.08,27.5902
HD 82943 c,Radial Velocity,2003,220.078,0.74345,1.959,5935,1.18,1.08,27.5902
HD 8326 b,Radial Velocity,2019,158.991,0.533,0.20955,4914,0.78,0.8,30.6862
HD 83443 b,Radial Velocity,2002,2.9857,0.04,0.34,5442,0.94,0.79,40.8991
HD 8535 b,Radial Velocity,2010,1313,2.45,0.68,6136,1.19,1.13,55.4401
HD 85390 b,Radial Velocity,2009,799.52,1.373,0.099,5186,0.8,0.76,33.5225
HD 85512 b,Radial Velocity,2011,58.43,0.26,0.011,4300,0.71,0.43,11.281
HD 8574 b,Radial Velocity,2002,227,0.76,2.03,6064,1.38,1.34,44.8264
HD 86081 b,Radial Velocity,2006,2.1378431,0.0346,1.48,5939,1.46,1.21,103.936
HD 86226 b,Radial Velocity,2009,1628,2.73,0.45,5863,1.05,1.02,45.683
HD 86226 c,Transit,2020,3.98442,0.049,0.02281,5863,1.05,1.02,45.683
HD 86264 b,Radial Velocity,2009,1475,2.86,7,6210,1.88,1.42,67.8107
HD 8673 b,Radial Velocity,2009,1634,3.02,14.2,6389.05,1.5,1.28,37.8619
HD 86950 b,Radial Velocity,2016,1270,2.72,3.6,4805,8.8,1.66,209.839
HD 87646 b,Radial Velocity,2016,13.481,0.117,12.4,5770,1.55,1.12,73.58352
HD 87883 b,Radial Velocity,2009,2754,3.58,1.54,4915,0.79,0.66,18.2912
HD 88133 b,Radial Velocity,2004,3.414884,0.0479,1.02,5392,2.2,1.26,73.6123
