pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_bmassj,st_teff,st_rad,st_mass,sy_dist
BD+20 274 b,Radial Velocity,2012,578.2,1.3,4.2,4296,17.3,0.8,1322.51
BD+20 594 b,Transit,2016,41.6855,0.241,0.07,5766,1.08,1.67,179.461
BD+45 564 b,Radial Velocity,2021,307.88,0.83,1.36,5004,0.81,0.81,53.622
BD+48 738 b,Radial Velocity,2011,392.6,1,0.91,4414,11,0.74,871.493
BD+48 740 b,Radial Velocity,2018,733,1.7,1.7,4534,10.33,1.09,666.589
BD+49 828 b,Radial Velocity,2015,2590,4.2,1.6,4943,7.6,1.52,442.042
BD+55 362 b,Radial Velocity,2021,265.59,0.78,0.72,5012,0.9,0.91,52.5697
BD+60 1417 b,Imaging,2021,,1662,15,4993,0.8,1,44.9543
BD+63 1405 b,Radial Velocity,2021,1198.48,2.06,3.96,5000,0.8,0.82,38.0473
BD-00 4475 b,Radial Velocity,2021,723.2,1.48,25.05,5040,0.84,0.81,42.6402
BD-06 1339 b,Radial Velocity,2013,3.8728,0.0428,0.027,4324,0.69,0.7,20.2695
BD-06 1339 c,Radial Velocity,2013,125.94,0.435,0.17,4324,0.69,0.7,20.2695
BD-08 2823 b,Radial Velocity,2009,5.6,0.06,0.04,4816,0.71,0.5,41.3342
BD-08 2823 c,Radial Velocity,2009,237.6,0.68,0.33,4746,0.72,0.74,41.3342
BD-10 3166 b,Radial Velocity,2000,3.48777,0.04,0.59,5393,0.91,1.47,84.4069
BD-11 4672 b,Radial Velocity,2014,1634,2.36,0.65,4550,0.64,0.65,27.1665
BD-11 4672 c,Radial Velocity,2020,74.2,0.3,0.04836,4550,0.64,0.65,27.1665
BD-13 2130 b,Radial Velocity,2007,714.29999,1.66,9.78,4545,19.17,2.12,925.214
BD-17 63 b,Radial Velocity,2008,655.6,1.34,5.1,4714,0.69,0.74,34.4603
CD Cet b,Radial Velocity,2020,2.2907,0.0185,0.01243,3130,0.17,0.16,8.60715
CFBDSIR J145829+101343 b,Imaging,2011,10037.5,2.6,10.5,580.5,,0.02,23.1
CFHTWIR-Oph 98 b,Imaging,2021,8040000,200,7.8,2320,0.24,0.01,
CHXR 73 b,Imaging,2006,,210,12.569,3099,,0.35,190.374
CI Tau b,Radial Velocity,2019,8.9891,,11.6,3807,1.88,0.9,157.998
COCONUTS-2 b,Imaging,2021,402000000,7506,6.3,3406,0.39,0.37,10.8864
CT Cha b,Imaging,2007,,440,17,4403,1.68,,190.72
CoRoT-1 b,Transit,2008,1.5089557,0.02752,1.03,5950,1.11,0.95,787.909
CoRoT-10 b,Transit,2010,13.2406,0.1055,2.75,5075,0.79,0.89,338.386
CoRoT-11 b,Transit,2010,2.99433,0.0436,2.33,6440,1.37,1.27,655.037
CoRoT-12 b,Transit,2010,2.828042,0.04016,0.917,5675,1.12,1.08,1126.37
CoRoT-13 b,Transit,2010,4.03519,0.051,1.308,5945,1.01,1.09,1148.93
CoRoT-14 b,Transit,2010,1.51214,0.027,7.6,6035,1.21,1.13,1744.6
CoRoT-16 b,Transit,2011,5.35227,0.0618,0.535,5650,1.19,1.1,732.409
CoRoT-17 b,Transit,2011,3.7681,0.0461,2.43,5740,1.59,1.04,1176.12
CoRoT-18 b,Transit,2011,1.9000693,0.0295,3.47,5440,1,0.95,764.889
CoRoT-19 b,Transit,2011,3.89713,0.0518,1.11,6090,1.65,1.21,790.663
CoRoT-2 b,Transit,2008,1.7429935,0.02798,3.47,5625,0.91,0.96,213.283
CoRoT-20 b,Transit,2011,9.24285,0.09,4.3,5880,1.02,1.14,844.061
CoRoT-20 c,Radial Velocity,2018,1675,2.9,17,4947.5,1.37,1.14,844.061
CoRoT-21 b,Transit,2012,2.72474,0.0417,2.26,6200,1.95,1.29,1398.834197
CoRoT-22 b,Transit,2014,9.75598,0.092,0.038,5939,1.14,1.1,627.158
CoRoT-23 b,Transit,2011,3.6313,0.048,2.8,5900,1.61,1.14,1060.97
CoRoT-24 b,Transit,2014,5.1134,0.056,0.018,4950,0.86,0.91,591.555
CoRoT-24 c,Transit,2014,11.759,0.098,0.088,4950,0.86,0.91,591.555
CoRoT-25 b,Transit,2013,4.86069,0.0578,0.27,6040,1.19,1.09,1103.48
CoRoT-26 b,Transit,2013,4.20474,0.0526,0.52,5590,1.79,1.09,1045.18
CoRoT-27 b,Transit,2014,3.57532,0.0476,10.39,5900,1.08,1.05,1010.28
CoRoT-28 b,Transit,2015,5.20851,0.0603,0.484,5150,1.78,1.01,766.183
CoRoT-29 b,Transit,2015,2.85057,0.0386,0.85,5260,0.9,0.97,806.507
CoRoT-3 b,Transit,2008,4.2568,0.05783,21.66,6740,1.56,1.37,768.771
CoRoT-30 b,Transit,2020,9.06005,0.0844,2.9,5650,0.91,0.98,1032.23
CoRoT-31 b,Transit,2020,4.62941,0.0586,0.84,5700,2.15,1.25,2005.76
CoRoT-4 b,Transit,2008,9.20205,0.09,0.72,6190,1.17,1.16,726.412
CoRoT-5 b,Transit,2009,4.0378962,0.04947,0.467,6100,1.19,1,882.472
CoRoT-6 b,Transit,2009,8.886593,0.0855,2.96,6090,1.02,1.05,645.294
CoRoT-7 b,Transit,2009,0.85359163,0.017016,0.01283,5275,0.83,0.82,159.906
CoRoT-7 c,Radial Velocity,2009,3.698,0.046,0.02643,5256,0.86,0.9,159.906
CoRoT-8 b,Transit,2010,6.21229,0.063,0.22,5080,0.77,0.88,322.037
CoRoT-9 b,Transit,2009,95.272656,0.4021,0.84,5625,0.96,0.96,412.98
CoRoTID 223977153 b,Transit,2017,6.71837,0.071,0.15,5970,0.79,1.08,576.683
DE CVn b,Eclipse Timing Variations,2018,4098.1,5.75,12.0293,3579,0.42,0.51,30.5225
DENIS-P J082303.1-491201 b,Astrometry,2013,246.36,0.36,28.5,,,0.07,20.77
DH Tau b,Imaging,2004,,330,11,4371,0.27,0.33,134.846
DMPP-1 b,Radial Velocity,2019,18.57,0.1462,0.07636,6196,1.26,1.21,62.5388
DMPP-1 c,Radial Velocity,2019,6.584,0.0733,0.0302,6196,1.26,1.21,62.5388
DMPP-1 d,Radial Velocity,2019,2.882,0.0422,0.01054,6196,1.26,1.21,62.5388
DMPP-1 e,Radial Velocity,2019,5.516,0.0651,0.01299,6196,1.26,1.21,62.5388
DMPP-2 b,Radial Velocity,2019,5.2072,0.0664,0.437,6500,1.78,1.44,137.94
DMPP-3 A b,Radial Velocity,2019,6.6732,0.0662,0.00812,5138,0.91,0.87,45.23
DP Leo b,Eclipse Timing Variations,2009,10220,8.19,6.28,13500,0.01,0.69,305.684
DS Tuc A b,Transit,2019,8.138268,,1.3,5428,0.96,1.01,44.0622
EPIC 201170410.02,Transit,2020,6.7987,0.0349,0.0036,3648,0.28,0.29,134
EPIC 201238110 b,Transit,2019,28.1656,,0.0131,3587,0.37,0.41,159.259
EPIC 201427007 b,Transit,2021,0.72091,,0.00899,5633,0.94,0.93,706.391
EPIC 201497682 b,Transit,2019,2.13174,,0.00082,4991,0.55,0.78,253.026
EPIC 201595106 b,Transit,2021,0.877214,,0.00705,5820,0.93,1.02,232.1
EPIC 201615463 c,Transit,2019,3.80464,,0.00624,5942.5,1.6,1.07,476.882
EPIC 201754305 d,Transit,2019,2.71578,,0.0034,4761,0.54,0.67,334.967
EPIC 201757695.02,Transit,2020,2.0478,0.0296,0.00217,4520,0.66,0.73,577.6
EPIC 201833600 c,Transit,2019,3.96151,,0.00306,4292.67,0.63,0.61,257.443
EPIC 201841433 b,Transit,2019,4.1698,0.035,0.00352,5053,0.63,0.8,436.488
EPIC 205950854 c,Transit,2019,8.050722,,0.00714,5502.7,0.83,0.88,243.935
EPIC 206024342 b,Transit,2019,4.50756,,0.0111,5724,0.82,0.93,369.888
EPIC 206024342 c,Transit,2021,0.911724,,0.008,5724,1.1,0.93,369.888
EPIC 206024342 d,Transit,2021,14.647531,,0.0229,5724,1.1,0.93,369.888
EPIC 206032309 b,Transit,2019,2.87814,,0.00317,3489,0.37,0.22,161.365
EPIC 206042996 b,Transit,2019,5.29711,,0.0102,4114,0.67,0.56,451.769
EPIC 206042996 c,Transit,2021,0.354884,,0.00588,4114,0.5,0.56,451.769
EPIC 206215704 b,Transit,2019,2.25372,,0.0021,3467,0.37,0.41,109.888
EPIC 206317286 b,Transit,2019,1.58252,,0.00264,4864,0.67,0.71,314.35
EPIC 211822797 b,Transit,2016,21.1701963,0.1195,0.0137,4057,0.58,0.62,186.197
EPIC 211945201 b,Transit,2018,19.49221,0.1493,0.08495,6069,1.39,1.17,181.69
EPIC 212297394 b,Transit,2019,2.289363,,0.00879,5171,0.8,0.83,418.395
EPIC 212297394 c,Transit,2016,5.213965,,0.0182,5171,0.8,0.83,418.395
EPIC 212424622 b,Transit,2019,18.0983,,0.0168,5782.33,1.22,1.11,611.804
EPIC 212499991 b,Transit,2019,34.885,,0.01,4982.79,0.76,0.91,283.29
EPIC 212587672 b,Transit,2019,15.28078,,0.00669,6004,0.98,0.99,320.07
EPIC 212587672 c,Transit,2016,23.228555,,0.0189,6004,0.98,0.99,320.07
EPIC 212624936 b,Transit,2021,0.578657,,0.00588,5765,0.93,1,561.929
EPIC 212624936 c,Transit,2021,11.811437,,0.0186,5765,0.93,1,561.929
EPIC 212737443 b,Transit,2019,13.603,0.098,0.0227,4684,0.67,0.69,336.25
EPIC 212737443 c,Transit,2019,65.55,0.28,0.0242,4684,0.67,0.69,336.25
EPIC 220492298 b,Transit,2021,0.762406,,0.00295,5620,0.89,0.95,624.512
EPIC 220554210 c,Transit,2019,0.70531,,0.00879,5523,1.01,0.94,496.289
EPIC 220674823 b,Transit,2016,0.571331,0.0134,0.02429,5617,0.98,0.97,244.59
EPIC 220674823 c,Transit,2016,13.339079,0.1091,0.01825,5617,0.98,0.97,244.59
EPIC 228836835 b,Transit,2021,0.728113,,0.0043,3782,0.32,0.42,150.124
EPIC 246851721 b,Transit,2018,6.180235,0.07229,3,6202,1.59,1.32,372.632
EPIC 248847494 b,Transit,2018,3650,4.5,13,4898,2.7,0.9,551.886
EPIC 249893012 b,Transit,2020,3.5951,0.047,0.02753,5430,1.71,1.05,321.296
EPIC 249893012 c,Transit,2020,15.624,0.13,0.04616,5430,1.71,1.05,321.296
EPIC 249893012 d,Transit,2020,35.747,0.22,0.03203,5430,1.71,1.05,321.296
FU Tau b,Imaging,2008,,800,16,2838,,0.05,133.4950466
G 264-012 b,Radial Velocity,2021,2.30538,0.02279,0.00787,3326,0.3,0.3,16.009
G 264-012 c,Radial Velocity,2021,8.0518,0.0525,0.0118,3326,0.3,0.3,16.009
G 9-40 b,Transit,2019,5.746007,0.0385,0.015,3348,0.31,0.29,27.9276
GJ 1061 b,Radial Velocity,2020,3.204,0.021,0.00431,2953,0.16,0.12,3.67278
GJ 1061 c,Radial Velocity,2020,6.689,0.035,0.00547,2953,0.16,0.12,3.67278
GJ 1061 d,Radial Velocity,2020,13.031,0.054,0.00516,2953,0.16,0.12,3.67278
GJ 1132 b,Transit,2015,1.628931,0.0153,0.00522,3270,0.21,0.18,12.613
GJ 1132 c,Radial Velocity,2018,8.929,0.0476,0.00831,3270,0.21,0.18,12.613
GJ 1148 b,Radial Velocity,2010,41.38,0.166,0.30425,3287,0.36,0.34,11.0143
GJ 1148 c,Radial Velocity,2017,532.58,0.912,0.21414,3287,0.36,0.34,11.0143
GJ 1151 b,Radial Velocity,2021,2.018,0.01735,0.00787,3114,0.2,0.17,8.03625
GJ 1214 b,Transit,2009,1.58040433,0.0149,0.02571,3250,0.21,0.18,14.6427
GJ 1252 b,Transit,2020,0.5182349,0.00916,0.00658,3458,0.39,0.38,20.373
GJ 1265 b,Radial Velocity,2018,3.6511,0.026,0.02328,3236,0.19,0.18,10.2525
GJ 143 b,Transit,2019,35.61253,0.1915,0.07142,4640,0.69,0.73,16.32
GJ 15 A b,Radial Velocity,2014,11.4407,0.072,0.00953,3607,0.38,0.38,3.56228
GJ 15 A c,Radial Velocity,2018,7600,5.4,0.11327,3607,0.38,0.38,3.56228
GJ 160.2 b,Radial Velocity,2014,5.2354,0.053,0.03209,4347,0.66,0.69,25.8557
GJ 163 b,Radial Velocity,2013,8.63182,0.0607,0.03335,3500,0.41,0.4,15.1285
GJ 163 c,Radial Velocity,2013,25.63058,0.1254,0.0214,3500,0.41,0.4,15.1285
GJ 163 d,Radial Velocity,2013,603.95116,1.0304,0.0925,3500,0.41,0.4,15.1285
GJ 179 b,Radial Velocity,2009,2288,2.41,0.82,3370,0.38,0.36,12.356
GJ 180 b,Radial Velocity,2014,17.133,0.092,0.02042,3371,0.41,0.43,11.9407
GJ 180 c,Radial Velocity,2014,24.329,0.129,0.02014,3371,0.41,0.43,11.9407
GJ 180 d,Radial Velocity,2020,106.3,0.309,0.02379,3811.5,0.41,0.43,11.9407
GJ 2056 b,Radial Velocity,2020,69.971,0.283,0.05097,4069.95,0.71,0.62,28.4434
GJ 229 A c,Radial Velocity,2020,121.995,0.339,0.02287,3912.54,0.46,0.58,5.75624
GJ 229 b,Radial Velocity,2014,526.115,0.898,0.02667,3564,0.46,0.58,5.75624
GJ 251 b,Radial Velocity,2020,14.238,0.0818,0.01259,3451,0.36,0.36,5.58057
GJ 27.1 b,Radial Velocity,2014,15.819,0.101,0.0409,3542,0.52,0.53,23.6062
GJ 273 b,Radial Velocity,2017,18.6498,0.091101,0.00909,3382,0.29,0.29,5.921535
GJ 273 c,Radial Velocity,2017,4.7234,0.036467,0.00371,3382,0.29,0.29,5.921535
GJ 3021 b,Radial Velocity,2000,133.71,0.49,3.37,5540,0.9,0.9,17.5559
GJ 3082 b,Radial Velocity,2020,11.949,0.079,0.0258,3910,0.47,0.47,16.6186
GJ 3138 b,Radial Velocity,2017,1.22003,0.0197,0.0056,3717,0.5,0.68,28.4712
GJ 3138 c,Radial Velocity,2017,5.974,0.057,0.01315,3717,0.5,0.68,28.4712
GJ 3138 d,Radial Velocity,2017,257.8,0.698,0.03304,3717,0.5,0.68,28.4712
GJ 317 b,Radial Velocity,2007,695.66,1.151,2.5,3492.73,0.43,0.42,15.1968
GJ 317 c,Radial Velocity,2018,6739.323,5.23,1.64396,3492.73,0.43,0.42,15.1968
GJ 328 b,Radial Velocity,2013,4100,4.5,2.3,3900,0.65,0.69,20.5266
